Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1714,16109,Freeke Gally,Bristol,,Kingston,,283,"Neale, Alexander"
1713,16110,Greyhound Gally,Bristol,,"Jamaica, place unspecified",,,"Selkirk, Alexander<br/> Forrest, Henry"
1714,16111,Jacob,Bristol,,Kingston,,130,"Nicholls, Philip"
1714,16112,Jason Gally,Bristol,,Port Royal,,278,"Plummer, John"
1713,16113,Lawford Gally,Bristol,"Africa, port unspecified",Newcastle (Nevis),,,"Stretton, Joseph"
1714,16114,Mercy Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,190,"Scott, John"
1714,16115,Mermaid Gally,Bristol,Cape Verde Islands,Kingston,,72,"Banbury, John<br/> Copinger, James"
1713,16116,Morning Star,Bristol,"Africa, port unspecified",Charleston,,,"Poole, Nicholas"
1714,16117,Peterborough,Bristol,"Africa, port unspecified","Barbados, place unspecified",,200,"Shawe, John<br/> Martin, Joseph"
1713,16118,Resolution,Bristol,"Gold Coast, port unspecified","Barbados, place unspecified",,255,"Williams, Charles"
1714,16119,Richard and William,Bristol,,Port Royal,,55,"Beckham, George<br/> Spring, Martin"
1713,16120,Rotchdale Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,96,"Hitchings, John"
1714,16121,Tunbridge Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,200,"Skinner, Peter"
1713,16122,Union Sloop,Bristol,"Gold Coast, port unspecified",Kingston,,80,"Rowe, Thomas"
1715,16124,Berkley Gally,Bristol,Calabar,"Barbados, place unspecified",,245,"Webley, William<br/> Saunders"
1715,16125,Diana,Bristol,"Gold Coast, port unspecified","Barbados, place unspecified",,50,"Davis, John"
1715,16126,Dover Gally,Bristol,,"Jamaica, place unspecified",,236,"Ames, William<br/> Day, John"
1715,16127,Duckinfield Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,310,"Bayly, Alexander"
1715,16128,Fame,Bristol,"Africa, port unspecified","Barbados, place unspecified",,84,"Shaw, John"
1715,16129,Florida,Bristol,Calabar,"Barbados, place unspecified",,145,"Braddock, James<br/> Stevens, Francis"
1714,16130,Hallifield Gally,Bristol,"Africa, port unspecified",Saint John (Antigua),,,"Bewk, John"
1715,16131,Jason Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,288,"Plummer, John"
1715,16132,Peterborough Frigate,Bristol,"Africa, port unspecified","Barbados, place unspecified",,345,"Price, John<br/> Martin, Rowland"
1715,16133,Provis Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,98,"Hodges, Edward"
1714,16134,Queen Ann,Bristol,"Africa, port unspecified",Newcastle (Nevis),,,"Reece, David"
1714,16135,Royal George,Bristol,"Africa, port unspecified",Saint John (Antigua),,,"Thomson, Henry<br/> Cory, Robert"
1715,16136,Sacheverell Gally,Bristol,"Gold Coast, port unspecified","Barbados, place unspecified",,116,"Yeamans, Charles"
1714,16137,Saint Michael,Bristol,"Africa, port unspecified","British Caribbean, colony unspecified",,,"Kenah, William"
1715,16138,Tiverton Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,230,"Owen, John"
1716,16140,Bachelor,Bristol,"Africa, port unspecified","Barbados, place unspecified",,95,"Wild, Isaac"
1715,16141,Dover Gally,Bristol,"Africa, port unspecified","Jamaica, place unspecified",,,"Day, John"
1716,16142,Duckinfield Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,292,"Bayly, Alexander"
1715,16143,Freeke Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,262,"Neale, Alexander"
1715,16144,Hallifield,Bristol,"Africa, port unspecified",Saint John (Antigua),,,"Bush, John"
1716,16145,Houlton,Bristol,"Africa, port unspecified","Barbados, place unspecified",,118,"Davis, John"
1716,16146,Mercy,Bristol,"Gold Coast, port unspecified","Jamaica, place unspecified",,240,"Callahan, Michael"
1716,16148,Peniel Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,150,"Skinner, Thomas"
1716,16149,Queen Ann,Bristol,"Africa, port unspecified","Barbados, place unspecified",,100,"Reece, David"
1715,16150,Roachdale Gally,Bristol,Madeira,"Barbados, place unspecified",,,"Bush, Peter"
1716,16151,Tiverton Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,259,"Owen, John"
1716,16152,Triton Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,169,"Stephens, William"
1716,16153,Tunbridge Gally,Bristol,,"Jamaica, place unspecified",,200,"Skinner, Peter"
1716,16154,Anna and Sarah,Bristol,"Africa, port unspecified","Montserrat, port unspecified",,,"Jacob, Thomas"
1716,16156,Berkley Gally,Bristol,"Whydah, Ouidah","Jamaica, place unspecified",,,"Saunders, Edmund<br/> Tucker, Nathaniel"
1717,16157,Betty Gally,Bristol,,"Jamaica, place unspecified",,264,"Kenah, William"
1716,16158,Betty,Bristol,"Africa, port unspecified","Jamaica, place unspecified",,,"Yeamans, Charles<br/> Barklay, Alexander"
1717,16159,Charfield,Bristol,Gambia,Rappahannock,,156,"Roberts, William"
1717,16161,Dover,Bristol,Cape Coast Castle,"Jamaica, place unspecified",,,"Gwither, John<br/> Day, John"
1717,16162,Duckinfield,Bristol,"Africa, port unspecified","Barbados, place unspecified",,176,"Rowles, Charles<br/> Bayly, Alexander"
1716,16163,Freke Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,303,"Arding, Richard<br/> Neale, Alexander"
1717,16164,Houlton Gally,Bristol,Gambia,"Barbados, place unspecified",,,"Normanton, John"
1717,16165,Jason Gally,London,"Gold Coast, port unspecified","Barbados, place unspecified",,300,"Plummer, John"
1717,16166,Martin Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,161,"Martin, Rowland"
1717,16169,Parnel Gally,Bristol,New Calabar,"Barbados, place unspecified",,223,"Phipps, Benjamin"
1717,16170,Peniel,Bristol,,"Jamaica, place unspecified",,100,"Skinner, Thomas"
1717,16171,Peterborough Frigate,Bristol,"Africa, port unspecified","Barbados, place unspecified",,191,"Edwards, James"
1716,16172,Rebecca,Bristol,"Africa, port unspecified",York River,,135,"Reece, David"
1716,16173,Royal George,Bristol,"Africa, port unspecified","Barbados, place unspecified",,,"Corey, Robert"
1716,16174,Susanna and Elizabeth,Bristol,"Africa, port unspecified",Saint John (Antigua),,,"Taylor, John<br/> George, John"
1717,16175,Tiverton Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,233,"Owen, John"
1717,16176,Triton Gally,Bristol,"Gold Coast, port unspecified","Barbados, place unspecified",,140,"Stephens, William"
1716,16177,Violet,Bristol,,"Jamaica, place unspecified",,,"Harrison, Stanley"
1717,16178,Ann and Sarah,Bristol,"Africa, port unspecified","Montserrat, port unspecified",,,"Jacob, Thomas<br/> Harris, Rice"
1718,16179,Berkley Gally,Bristol,New Calabar,York River,,143,"Pitts, Francis"
1718,16180,Coulstone,Bristol,Sierra Leone estuary,"Barbados, place unspecified",,33,"Skinner, Peter<br/> Vaughan, Hugh"
1717,16181,Dragon,Bristol,"Africa, port unspecified",Saint John (Antigua),,,"Sommers, Phillip<br/> Lamb"
1718,16182,Duckinfield,Bristol,,"Jamaica, place unspecified",,260,"Rowles, Charles"
1717,16183,Freke Gally,Bristol,,"Jamaica, place unspecified",,310,"Harding, Richard"
1718,16184,Henry,Bristol,"Africa, port unspecified",Rappahannock,,126,"Harper, James<br/> Smith, Henry"
1718,16185,Jason Gally,Bristol,,"Jamaica, place unspecified",,298,"Plummer, John"
1718,16187,Martin Gally,Bristol,,Kingston,,150,"Martin, Rowland"
